player_id,surname,forename,player_name,comp_rec_pos,soccerbase_pos,tm_pos_1,tm_pos_2,tm_pos_3
ACourtAlan19340930,A'Court,Alan,Alan A'Court,Outside Left,,,,
AchterbergJohn19710708,Achterberg,John,John Achterberg,,Goalkeeper,Goalkeeper,,
AdamsArthur,Adams,Arthur,Arthur Adams,Outside Right,,,,
AdamsEdward19081112,Adams,Edward,Edward Adams,Outside Right,,,,
AdkinsNigel19650311,Adkins,Nigel,Nigel Adkins,Goalkeeper,,Goalkeeper,,
AhmedAdnan19840607,Ahmed,Adnan,Adnan Ahmed,,Midfielder,Central Midfield,,
AimsonWill19940603,Aimson,Will,Will Aimson,,Defender,Centre-Back,,
AistonSam19761121,Aiston,Sam,Sam Aiston,,Midfielder,Left Midfield,,
AkammaduFranklyn19980811,Akammadu,Franklyn,Franklyn Akammadu,,Forward,Centre-Forward,Right Winger,Left Winger
AkinsLucas19890225,Akins,Lucas,Lucas Akins,,Forward,Right Winger,Centre-Forward,Right-Back
AkpaAkproJeanLouis19850104,Akpa Akpro,Jean-Louis,Jean-Louis Akpa Akpro,,Forward,Centre-Forward,Second Striker,Left Winger
AkpanUdi19990210,Akpan,Udi,Udi Akpan,,Forward,,,
AkpanUdoyen19990210,Akpan,Udoyen,Udoyen Akpan,,,Centre-Forward,Second Striker,Right Winger
AlabiJames19941108,Alabi,James,James Alabi,,Forward,Centre-Forward,Left Winger,Right Winger
AlcockEdward1914,Alcock,Edward,Edward Alcock,Outside Left,,,,
AldridgeJohn19580918,Aldridge,John,John Aldridge,Forward,Forward,Centre-Forward,,
AldridgePaul19811202,Aldridge,Paul,Paul Aldridge,,Forward,Centre-Forward,,
AlexanderAlex19240928,Alexander,Alex,Alex Alexander,Outside Left,,,,
AlldisGillie19200126,Alldis,Gillie,Gillie Alldis,Right Half,,,,
AllenGraham19770408,Allen,Graham,Graham Allen,,Defender,Centre-Back,Right-Back,
AllenMark19631218,Allen,Mark,Mark Allen,Forward,,,,
AllenRussell19540109,Allen,Russell,Russell Allen,Forward,,,,
AllisonWayne19681016,Allison,Wayne,Wayne Allison,,Forward,Centre-Forward,,
AlmondJohn41915,Almond,John,John Almond,Outside Left,,,,
AlmondLouis19920105,Almond,Louis,Louis Almond,,Forward,Centre-Forward,Left Winger,
AmeryCharlie19100916,Amery,Charlie,Charlie Amery,Left Back,,,,
AmooDavid19910413,Amoo,David,David Amoo,,Forward,Right Winger,Left Winger,Second Striker
AndersJimmy19280308,Anders,Jimmy,Jimmy Anders,Outside Left,,,,
AndersonDoug19630829,Anderson,Doug,Doug Anderson,Outside Left,,Winger,,
AndersonIain19770723,Anderson,Iain,Iain Anderson,,Midfielder,Right Winger,Right Midfield,
AndersonTed19110717,Anderson,Ted,Ted Anderson,Wing Half,,,,
AntwiGodwin19880607,Antwi,Godwin,Godwin Antwi,,Defender,Centre-Back,,
ApterRob20030423,Apter,Rob,Rob Apter,,Forward,Right Winger,Attacking Midfield,
AriyibiGboly19950118,Ariyibi,Gboly,Gboly Ariyibi,,Forward,Left Winger,Right Winger,Attacking Midfield
ArnellAlan19331125,Arnell,Alan,Alan Arnell,Center Forward,,,,
ArthurworreyStephen19941015,Arthurworrey,Stephen,Stephen Arthurworrey,,Defender,Centre-Back,,
AshcroftBilly19521001,Ashcroft,Billy,Billy Ashcroft,Central Defender,,Centre-Back,Centre-Forward,
AshcroftLlew19210710,Ashcroft,Llew,Llew Ashcroft,Outside Right,,,,
AshtonNeil19850115,Ashton,Neil,Neil Ashton,,Defender,Left-Back,Centre-Back,
AshworthBarry19420815,Ashworth,Barry,Barry Ashworth,Right Half,,,,
AskewDarren,Askew,Darren,Darren Askew,,,,,
AspinallJohn19590315,Aspinall,John,John Aspinall,Midfielder,,Winger,,
AtkinsonChris19920213,Atkinson,Chris,Chris Atkinson,,Midfielder,Central Midfield,,
AtkinsonHarold19250728,Atkinson,Harold,Harold Atkinson,Center Forward,,,,
BabbPhil19701130,Babb,Phil,Phil Babb,,Defender,Centre-Back,Left-Back,
BainKithson19820526,Bain,Kithson,Kithson Bain,,Forward,Centre-Forward,,
BainbridgeBill19220309,Bainbridge,Bill,Bill Bainbridge,Inside Right,,,,
BakayogoZoumana19860817,Bakayogo,Zoumana,Zoumana Bakayogo,,Defender,Left-Back,Left Midfield,
BakerHorace19100901,Baker,Horace,Horace Baker,Outside Right,,,,
BakerTom19850328,Baker,Tom,Tom Baker,,,Central Midfield,,
BaldwinEdmund31910,Baldwin,Edmund,Edmund Baldwin,Center Forward,,,,
BamberJack18950411,Bamber,Jack,Jack Bamber,Center Half,,,,
BanksOllie19920921,Banks,Ollie,Ollie Banks,,Midfielder,Central Midfield,Defensive Midfield,Attacking Midfield
BarkerGeorge19910926,Barker,George,George Barker,,Midfielder,Centre-Forward,Right Winger,Left Winger
BarlowStuart19680716,Barlow,Stuart,Stuart Barlow,,Forward,Centre-Forward,,
BarnettCharlie19880919,Barnett,Charlie,Charlie Barnett,,Midfielder,Central Midfield,,
BarnettGraham19360517,Barnett,Graham,Graham Barnett,Inside Forward,,,,
