player_id,surname,forename,player_name,player_dob,soccerbase_pos
AchterbergJohn19710708,Achterberg,John,John Achterberg,1971-07-08,Goalkeeper
AhmedAdnan19840607,Ahmed,Adnan,Adnan Ahmed,1984-06-07,Midfielder
AimsonWill19940603,Aimson,Will,Will Aimson,1994-06-03,Defender
AistonSam19761121,Aiston,Sam,Sam Aiston,1976-11-21,Midfielder
AkammaduFranklyn19980811,Akammadu,Franklyn,Franklyn Akammadu,1998-08-11,Forward
AkinsLucas19890225,Akins,Lucas,Lucas Akins,1989-02-25,Midfielder
AkpaAkproJeanLouis19850104,Akpa Akpro,Jean-Louis,Jean-Louis Akpa Akpro,1985-01-04,Forward
AkpanUdoyen19990210,Akpan,Udoyen,Udoyen Akpan,1999-02-10,Forward
AlabiJames19941108,Alabi,James,James Alabi,1994-11-08,Forward
AldridgeJohn19580918,Aldridge,John,John Aldridge,1958-09-18,Forward
AldridgePaul19811202,Aldridge,Paul,Paul Aldridge,1981-12-02,Forward
AllenGraham19770408,Allen,Graham,Graham Allen,1977-04-08,Defender
AllisonWayne19681016,Allison,Wayne,Wayne Allison,1968-10-16,Forward
AlmondLouis19920105,Almond,Louis,Louis Almond,1992-01-05,Forward
AmooDavid19910413,Amoo,David,David Amoo,1991-04-13,Forward
AndersonIain19770723,Anderson,Iain,Iain Anderson,1977-07-23,Midfielder
AntwiGodwin19880607,Antwi,Godwin,Godwin Antwi,1988-06-07,Defender
ApterRob20030423,Apter,Rob,Rob Apter,2003-04-23,Midfielder
AriyibiGboly19950118,Ariyibi,Gboly,Gboly Ariyibi,1995-01-18,Forward
ArthurworreyStephen19941015,Arthurworrey,Stephen,Stephen Arthurworrey,1994-10-15,Defender
AshtonNeil19850115,Ashton,Neil,Neil Ashton,1985-01-15,Defender
AtkinsonChris19920213,Atkinson,Chris,Chris Atkinson,1992-02-13,Midfielder
BabbPhil19701130,Babb,Phil,Phil Babb,1970-11-30,Defender
BainKithson19820526,Bain,Kithson,Kithson Bain,1982-05-26,Forward
BakayogoZoumana19860817,Bakayogo,Zoumana,Zoumana Bakayogo,1986-08-17,Defender
BanksOllie19920921,Banks,Ollie,Ollie Banks,1992-09-21,Midfielder
BarkerGeorge19910926,Barker,George,George Barker,1991-09-26,Midfielder
BarlowStuart19680716,Barlow,Stuart,Stuart Barlow,1968-07-16,Forward
BarnettCharlie19880919,Barnett,Charlie,Charlie Barnett,1988-09-19,Midfielder
BaxterJose19920207,Baxter,Jose,Jose Baxter,1992-02-07,Forward
BelehouanJean20000901,Belehouan,Jean,Jean Belehouan,2000-09-01,Defender
BellBaggieAbdulai19920428,Bell-Baggie,Abdulai,Abdulai Bell-Baggie,1992-04-28,Midfielder
BensonLiam19920225,Benson,Liam,Liam Benson,1992-02-25,Defender
BeresfordDavid19761111,Beresford,David,David Beresford,1976-11-11,Midfielder
BlackMichael19761006,Black,Michael,Michael Black,1976-10-06,Midfielder
BlackPaul19900118,Black,Paul,Paul Black,1990-01-18,Defender
BlackettTaylorCorey19970923,Blackett-Taylor,Corey,Corey Blackett-Taylor,1997-09-23,Midfielder
BlackhamJoe20010910,Blackham,Joe,Joe Blackham,2001-09-10,Midfielder
BlanchardMaxime19860927,Blanchard,Maxime,Maxime Blanchard,1986-09-27,Defender
BlissettNathan19900629,Blissett,Nathan,Nathan Blissett,1990-06-29,Forward
BolandAntonie19941230,Boland,Antonie,Antonie Boland,1994-12-30,Defender
BonettiIvano19640801,Bonetti,Ivano,Ivano Bonetti,1964-08-01,Midfielder
BorthwickJacksonCameron19970202,Borthwick-Jackson,Cameron,Cameron Borthwick-Jackson,1997-02-02,Defender
BradshawZak20030922,Bradshaw,Zak,Zak Bradshaw,2003-09-22,Defender
BranchGraham19720212,Branch,Graham,Graham Branch,1972-02-12,Midfielder
BrannanGed19720115,Brannan,Ged,Ged Brannan,1972-01-15,Midfielder
BrezovanPeter19791209,Brezovan,Peter,Peter Brezovan,1979-12-09,Goalkeeper
BristowEthan20011127,Bristow,Ethan,Ethan Bristow,2001-11-27,Defender
BroomesMarlon19771128,Broomes,Marlon,Marlon Broomes,1977-11-28,Defender
BrownJunior19890507,Brown,Junior,Junior Brown,1989-05-07,Defender
BrownKayleden19920415,Brown,Kayleden,Kayleden Brown,1992-04-15,Forward
BrownPaul19840910,Brown,Paul,Paul Brown,1984-09-10,Midfielder
BruceAlex19840928,Bruce,Alex,Alex Bruce,1984-09-28,Defender
BrunaGerardo19910129,Bruna,Gerardo,Gerardo Bruna,1991-01-29,Midfielder
BruntRyan19930526,Brunt,Ryan,Ryan Brunt,1993-05-26,Forward
BuchananDavid19860506,Buchanan,David,David Buchanan,1986-05-06,Defender
BurnsRobbie19901115,Burns,Robbie,Robbie Burns,1990-11-15,Midfielder
BurtonJake20011115,Burton,Jake,Jake Burton,2001-11-15,Forward
BuxtonAdam19920512,Buxton,Adam,Adam Buxton,1992-05-12,Defender
ByrneNeill19930202,Byrne,Neill,Neill Byrne,1993-02-02,Defender
CansdellSherriffShane19821110,Cansdell-Sherriff,Shane,Shane Cansdell-Sherriff,1982-11-10,Defender
CapriceJake19921111,Caprice,Jake,Jake Caprice,1992-11-11,Midfielder
CaroleSebastien19820908,Carole,Sebastien,Sebastien Carole,1982-09-08,Midfielder
CassidyJake19930209,Cassidy,Jake,Jake Cassidy,1993-02-09,Forward
CathalinaTimothy19850124,Cathalina,Timothy,Timothy Cathalina,1985-01-24,Defender
ChallinorDave19751002,Challinor,Dave,Dave Challinor,1975-10-02,Defender
ChalmersLogan20000324,Chalmers,Logan,Logan Chalmers,2000-03-24,Midfielder
ChapmanAaron19900529,Chapman,Aaron,Aaron Chapman,1990-05-29,Goalkeeper
ChorleyBen19820930,Chorley,Ben,Ben Chorley,1982-09-30,Defender
ClarkeEddie19981229,Clarke,Eddie,Eddie Clarke,1998-12-29,Defender
ClarkePeter19820103,Clarke,Peter,Peter Clarke,1982-01-03,Defender
ColeLarnell19930309,Cole,Larnell,Larnell Cole,1993-03-09,Midfielder
CollinsAaron19970527,Collins,Aaron,Aaron Collins,1997-05-27,Forward
CollisterJoe19911215,Collister,Joe,Joe Collister,1991-12-15,Goalkeeper
ConnellySean19700626,Connelly,Sean,Sean Connelly,1970-06-26,Defender
CookAndy19901018,Cook,Andy,Andy Cook,1990-10-18,Forward
CookPaul19670222,Cook,Paul,Paul Cook,1967-02-22,Midfielder
CooperKevin19750208,Cooper,Kevin,Kevin Cooper,1975-02-08,Midfielder
CorryPaul19910203,Corry,Paul,Paul Corry,1991-02-03,Midfielder
CoughlinAndy19930131,Coughlin,Andy,Andy Coughlin,1993-01-31,Goalkeeper
CoyneDanny19730827,Coyne,Danny,Danny Coyne,1973-08-27,Goalkeeper
