player_id,player_name,forename,surname,tm_pos_1,tm_pos_2,tm_pos_3
AchterbergJohn19710708,John Achterberg,John,Achterberg,Goalkeeper,,
AdkinsNigel19650311,Nigel Adkins,Nigel,Adkins,Goalkeeper,,
AhmedAdnan19840607,Adnan Ahmed,Adnan,Ahmed,Central Midfield,,
AimsonWill19940603,Will Aimson,Will,Aimson,Centre-Back,,
AistonSam19761121,Sam Aiston,Sam,Aiston,Left Midfield,,
AkammaduFranklyn19980811,Franklyn Akammadu,Franklyn,Akammadu,Centre-Forward,Right Winger,Left Winger
AkinsLucas19890225,Lucas Akins,Lucas,Akins,Right Winger,Centre-Forward,Right-Back
AkpaAkproJeanLouis19850104,Jean-Louis Akpa Akpro,Jean-Louis,Akpa Akpro,Centre-Forward,Second Striker,Left Winger
AkpanUdoyen19990210,Udoyen Akpan,Udoyen,Akpan,Centre-Forward,Second Striker,Right Winger
AlabiJames19941108,James Alabi,James,Alabi,Centre-Forward,Left Winger,Right Winger
AldridgeJohn19580918,John Aldridge,John,Aldridge,Centre-Forward,,
AldridgePaul19811202,Paul Aldridge,Paul,Aldridge,Centre-Forward,,
AllenGraham19770408,Graham Allen,Graham,Allen,Centre-Back,Right-Back,
AllisonWayne19681016,Wayne Allison,Wayne,Allison,Centre-Forward,,
AlmondLouis19920105,Louis Almond,Louis,Almond,Centre-Forward,Left Winger,
AmooDavid19910413,David Amoo,David,Amoo,Right Winger,Left Winger,Second Striker
AndersonDoug19630829,Doug Anderson,Doug,Anderson,Winger,,
AndersonIain19770723,Iain Anderson,Iain,Anderson,Right Winger,Right Midfield,
AntwiGodwin19880607,Godwin Antwi,Godwin,Antwi,Centre-Back,,
ApterRob20030423,Rob Apter,Rob,Apter,Right Winger,Attacking Midfield,
AriyibiGboly19950118,Gboly Ariyibi,Gboly,Ariyibi,Left Winger,Right Winger,Attacking Midfield
ArthurworreyStephen19941015,Stephen Arthurworrey,Stephen,Arthurworrey,Centre-Back,,
AshcroftBilly19521001,Billy Ashcroft,Billy,Ashcroft,Centre-Back,Centre-Forward,
AshtonNeil19850115,Neil Ashton,Neil,Ashton,Left-Back,Centre-Back,
AskewDarren,Darren Askew,Darren,Askew,,,
AspinallJohn19590315,John Aspinall,John,Aspinall,Winger,,
AtkinsonChris19920213,Chris Atkinson,Chris,Atkinson,Central Midfield,,
BabbPhil19701130,Phil Babb,Phil,Babb,Centre-Back,Left-Back,
BainKithson19820526,Kithson Bain,Kithson,Bain,Centre-Forward,,
BakayogoZoumana19860817,Zoumana Bakayogo,Zoumana,Bakayogo,Left-Back,Left Midfield,
BakerTom19850328,Tom Baker,Tom,Baker,Central Midfield,,
BanksOllie19920921,Ollie Banks,Ollie,Banks,Central Midfield,Defensive Midfield,Attacking Midfield
BarkerGeorge19910926,George Barker,George,Barker,Centre-Forward,Right Winger,Left Winger
BarlowStuart19680716,Stuart Barlow,Stuart,Barlow,Centre-Forward,,
BarnettCharlie19880919,Charlie Barnett,Charlie,Barnett,Central Midfield,,
BaxterJose19920207,Jose Baxter,Jose,Baxter,Attacking Midfield,Central Midfield,Second Striker
BeamishKenny19470825,Kenny Beamish,Kenny,Beamish,Centre-Forward,,
BelehouanJean20000901,Jean Belehouan,Jean,Belehouan,Centre-Back,Left-Back,
BellBaggieAbdulai19920428,Abdulai Bell-Baggie,Abdulai,Bell-Baggie,Right Winger,Left Winger,
BennettGary19630920,Gary Bennett,Gary,Bennett,Centre-Forward,,
BensonLiam19920225,Liam Benson,Liam,Benson,Left-Back,Centre-Back,Right-Back
BeresfordDavid19761111,David Beresford,David,Beresford,Left Midfield,,
BishopEddie19621128,Eddie Bishop,Eddie,Bishop,Central Midfield,,
BlackMichael19761006,Michael Black,Michael,Black,Left Winger,Right Winger,
BlackPaul19900118,Paul Black,Paul,Black,Left-Back,,
BlackettTaylorCorey19970923,Corey Blackett-Taylor,Corey,Blackett-Taylor,Right Winger,Left Winger,
